name,code,owner,type,country,district_name,status,start_date,expiry_date,assets,geometry
SSMP/9/290,SSMP/9/290,Haw Mines,Small Scale Mining Licence (Non-Industrial Minerals),GH,Bolgatanga Municipal,Active License,7/18/2022,7/17/2027,"Gold,Diamonds","POLYGON ((-0.9083333333 10.7358333333,-0.9066666667 10.7358333333,-0.9066666667 10.7308333333,-0.9083333333 10.7308333333,-0.9083333333 10.7358333333,-0.9083333333 10.7358333333))"
SSMP/9/312,SSMP/9/312,Rahm Mines,Small Scale Mining Licence (Non-Industrial Minerals),GH,Bolgatanga Municipal,Active License,7/18/2022,7/17/2027,"Gold,Diamonds","POLYGON ((-0.905 10.7275,-0.9058333333 10.7275,-0.9058333333 10.7291666667,-0.9083333333 10.7291666667,-0.9083333333 10.7308333333,-0.9066666667 10.7308333333,-0.9066666667 10.7316666667,-0.905 10.7316666667,-0.905 10.7275,-0.905 10.7275))"
MC/SSMP/9/311,MC/SSMP/9/311,Nian Natural Resources,Small Scale Mining Licence (Non-Industrial Minerals),GH,Bolgatanga Municipal,Active License,7/18/2022,7/17/2027,Gold,"POLYGON ((-0.9066666667 10.7316666667,-0.9066666667 10.7325,-0.9058333333 10.7325,-0.9058333333 10.7341666667,-0.9066666667 10.7341666667,-0.9066666667 10.735,-0.9033333333 10.735,-0.9033333333 10.7341666667,-0.9041666667 10.7341666667,-0.9041666667 10.7333333333,-0.9033333333 10.7333333333,-0.9033333333 10.7325,-0.9041666667 10.7325,-0.9041666667 10.7316666667,-0.9066666667 10.7316666667,-0.9066666667 10.7316666667))"
SSMP/9/296,SSMP/9/296,Neo Natural Resources,Small Scale Mining Licence (Non-Industrial Minerals),GH,Bolgatanga Municipal,Active License,7/8/2022,7/7/2027,Gold,"POLYGON ((-0.8958333333 10.7375,-0.8983333333 10.7375,-0.8983333333 10.7383333333,-0.9 10.7383333333,-0.9 10.7391666667,-0.8991666667 10.7391666667,-0.8991666667 10.74,-0.8958333333 10.74,-0.8958333333 10.7375,-0.8958333333 10.7375))"
SSMP/9/326,SSMP/9/326,Mahr Natural Resources,Small Scale Mining Licence (Non-Industrial Minerals),GH,Bolgatanga Municipal,Active License,7/18/2022,7/17/2027,"Gold,Diamonds","POLYGON ((-0.8958333333 10.7258333333,-0.8975 10.7258333333,-0.8975 10.7291666667,-0.9 10.7291666667,-0.9 10.73,-0.8966666667 10.73,-0.8966666667 10.7291666667,-0.8958333333 10.7291666667,-0.8958333333 10.7258333333,-0.8958333333 10.7258333333))"
MC/SSMP/9/325,MC/SSMP/9/325,Tasnim Resources,Small Scale Mining Licence (Non-Industrial Minerals),GH,Bolgatanga Municipal,Active License,7/6/2022,7/5/2027,Gold,"POLYGON ((-0.9091666667 10.7266666667,-0.9125 10.7266666667,-0.9125 10.7291666667,-0.9091666667 10.7291666667,-0.9091666667 10.7266666667,-0.9091666667 10.7266666667))"
SSMP-NIM-9/1847,SSMP-NIM-9/1847,Kian Natural Resources,Small Scale Mining Licence (Non-Industrial Minerals),GH,Bolgatanga Municipal,Active License,4/9/2024,4/8/2029,Gold,"POLYGON ((-0.9066666667 10.725,-0.9125 10.725,-0.9125 10.7266666667,-0.9116666667 10.7266666667,-0.9116666667 10.7258333333,-0.910555555555 10.7258333333,-0.910555555555 10.7266666667,-0.91 10.7266666667,-0.91 10.7258333333,-0.9091666667 10.7258333333,-0.9091666667 10.7266666667,-0.9083333333 10.7266666667,-0.9083333333 10.7258333333,-0.9075 10.7258333333,-0.9075 10.7266666667,-0.9066666667 10.7266666667,-0.9066666667 10.725,-0.9066666667 10.725))"
MC/SSMP/9/313,MC/SSMP/9/313,Balu Mining,Small Scale Mining Licence (Non-Industrial Minerals),GH,Bolgatanga Municipal,Active License,7/18/2022,7/17/2027,Gold,"POLYGON ((-0.8916666667 10.7325,-0.8933333333 10.7325,-0.8933333333 10.7375,-0.8916666667 10.7375,-0.8916666667 10.7325,-0.8916666667 10.7325))"
MC/SSMP/9/315,MC/SSMP/9/315,Ania Mines,Small Scale Mining Licence (Non-Industrial Minerals),GH,Bolgatanga Municipal,Active License,7/18/2022,7/17/2027,Gold,"POLYGON ((-0.8941666667 10.7333333333,-0.8966666667 10.7333333333,-0.8966666667 10.7325,-0.8975 10.7325,-0.8975 10.7333333333,-0.8983333333 10.7333333333,-0.8983333333 10.7341666667,-0.8975 10.7341666667,-0.8975 10.7358333333,-0.8966666667 10.7358333333,-0.8966666667 10.735,-0.8941666667 10.735,-0.8941666667 10.7333333333,-0.8941666667 10.7333333333))"
PL9/37,PL9/37,Cardinal Resources Ghana Limited,Prospecting Licence (Ghanaian),GH,Bolgatanga Municipal,Active License,2/6/2023,2/5/2026,Gold,"POLYGON ((-0.8916666667 10.975,-0.8916666667 10.9625,-0.8958333333 10.9625,-0.8958333333 10.9541666667,-0.8666666667 10.9541666667,-0.8666666667 10.9708333333,-0.8583333333 10.9708333333,-0.8583333333 10.9875,-0.8458333333 10.9875,-0.8458333333 10.9916666667,-0.8372222222 10.9916666667,-0.8372222222 10.9416666667,-0.8416666667 10.9416666667,-0.8416666667 10.9375,-0.8458333333 10.9375,-0.8458333333 10.8166666667,-0.9291666667 10.8166666667,-0.9291666667 10.9333333333,-0.9208333333 10.9333333333,-0.9208333333 10.975,-0.8916666667 10.975,-0.8916666667 10.975))"
RL9/29,RL9/29,Cardinal Resources Ghana Limited,Prospecting Licence (Ghanaian),GH,Bolgatanga Municipal,Active License,2/6/2023,2/5/2026,Gold,"POLYGON ((-0.775 10.9916666667,-0.775 10.9208333333,-0.7291666667 10.9208333333,-0.7291666667 10.9291666667,-0.7208333333 10.9291666667,-0.7208333333 10.9208333333,-0.725 10.9208333333,-0.725 10.9166666667,-0.7291666667 10.9166666667,-0.7291666667 10.9125,-0.7333333333 10.9125,-0.7333333333 10.9083333333,-0.7375 10.9083333333,-0.7375 10.9,-0.7458333333 10.9,-0.7458333333 10.8916666667,-0.75 10.8916666667,-0.75 10.8875,-0.7541666667 10.8875,-0.7541666667 10.8833333333,-0.7583333333 10.8833333333,-0.7583333333 10.8791666667,-0.7625 10.8791666667,-0.7625 10.8708333333,-0.7708333333 10.8708333333,-0.7708333333 10.8625,-0.775 10.8625,-0.775 10.8583333333,-0.7791666667 10.8583333333,-0.7791666667 10.8541666667,-0.7833333333 10.8541666667,-0.7833333333 10.8458333333,-0.7916666667 10.8458333333,-0.7916666667 10.8333333333,-0.8 10.8333333333,-0.8 10.8166666667,-0.8458333333 10.8166666667,-0.8458333333 10.9375,-0.8416666667 10.9375,-0.8416666667 10.9416666667,-0.8375 10.9416666667,-0.8375 10.9916666667,-0.775 10.9916666667,-0.775 10.9916666667))"
