name,code,owner,type,country,status,start_date,expiry_date,assets,geometry
SSML-T2 6/2023,SSML-T2 6/2023,RMG Company Limited,Small Scale Licence (Tarkwa District),GH,Active License,2023-06-21,2028-06-20,Gold,"POLYGON ((-1.9891666667 5.3441666667, -1.9883333333 5.3441666667, -1.9883333333 5.3433333333, -1.9875 5.3433333333, -1.9875 5.3425, -1.9866666667 5.3425, -1.9866666667 5.3416666667, -1.9858333333 5.3416666667, -1.9858333333 5.34, -1.9875 5.34, -1.9875 5.3408333333, -1.9891666667 5.3408333333, -1.9891666667 5.3441666667))"
SSML-W10 1/2023,SSML-W10 1/2023,Tegyaabunyeni Limited,Small Scale Licence (Wa District),GH,Active License,2023-06-01,2028-05-31,Gold,"POLYGON ((-2.1875 10.0975, -2.1875 10.0983, -2.1883 10.0983, -2.1883 10.0992, -2.1892 10.0992, -2.1892 10.1008, -2.19 10.1008, -2.19 10.1025, -2.1892 10.1025, -2.1892 10.1017, -2.1883 10.1017, -2.1883 10.1008, -2.1875 10.1008, -2.1875 10.1, -2.1867 10.1, -2.1867 10.0983, -2.1858 10.0983, -2.1858 10.0975, -2.1875 10.0975))"
SSML-B11 6/2024,SSML-B11 6/2024,NEW PROCEDURE MINING &TRADING ENTERPRISE,Small Scale Licence (Bibiani District),GH,Active License,2024-09-25,2029-09-24,Gold,"POLYGON ((-2.255 6.8783, -2.2542 6.8783, -2.2542 6.8758, -2.2583 6.8758, -2.2583 6.8767, -2.2592 6.8767, -2.2592 6.8775, -2.255 6.8775, -2.255 6.8783))"
SSML-B11 7/2024,SSML-B11 7/2024,PEACE MINING AND TRADING ENTERPRISE,Small Scale Licence (Bibiani District),GH,Active License,2024-10-08,2029-10-07,Gold,"POLYGON ((-2.2542 6.8783, -2.2525 6.8783, -2.2525 6.8775, -2.2533 6.8775, -2.2533 6.8758, -2.2542 6.8758, -2.2542 6.8783))"
PL (G)-GH/820,PL (G)-GH/820,CURZON GLOBAL RESOURCES GHANA LIMITED,Prospecting Licence (Ghanaian),GH,Active License,2024-01-26,2027-01-25,Gold,"POLYGON ((-0.5458333333 5.5458333333, -0.5291666667 5.5458333333, -0.5291666667 5.525, -0.4958333333 5.525, -0.4958333333 5.4916666667, -0.525 5.4916666667, -0.525 5.475, -0.5541666667 5.475, -0.5541666667 5.4375, -0.575 5.4375, -0.575 5.3958333333, -0.5583333333 5.3958333333, -0.5583333333 5.3833333333, -0.5833333333 5.3833333333, -0.5833333333 5.5, -0.5458333333 5.5, -0.5458333333 5.5458333333))"
SSML-AK5 6/2023,SSML-AK5 6/2023,Pure Caratage Limited,Small Scale Licence (Akim Oda District),GH,Active License,2023-05-30,2028-05-29,Gold,"POLYGON ((-0.8475 6.4133333333, -0.8458333333 6.4133333333, -0.8458333333 6.4083333333, -0.8475 6.4083333333, -0.8475 6.4133333333))"
SSML-AK5 7/2023,SSML-AK5 7/2023,Pure Caratage Limited,Small Scale Licence (Akim Oda District),GH,Active License,2023-05-30,2028-05-29,Gold,"POLYGON ((-0.8425 6.4142, -0.8375 6.4142, -0.8375 6.4125, -0.8425 6.4125, -0.8425 6.4142))"
SSML-AK5 8/2023,SSML-AK5 8/2023,Pure Caratage Limited,Small Scale Licence (Akim Oda District),GH,Active License,2023-05-30,2028-05-29,Gold,"POLYGON ((-0.85 6.4142, -0.8475 6.4142, -0.8475 6.4108, -0.85 6.4108, -0.85 6.4142))"
SSML-AK5 10/2023,SSML-AK5 10/2023,Pure Caratage Limited,Small Scale Licence (Akim Oda District),GH,Active License,2023-05-30,2028-05-29,Gold,"POLYGON ((-0.8417 6.4125, -0.8383 6.4125, -0.8383 6.41, -0.8417 6.41, -0.8417 6.4125))"
SSML-AK5 9/2023,SSML-AK5 9/2023,Pure Caratage Limited,Small Scale Licence (Akim Oda District),GH,Active License,2023-05-30,2028-05-29,Gold,"POLYGON ((-0.8458 6.4133, -0.845 6.4133, -0.845 6.4125, -0.8442 6.4125, -0.8442 6.4092, -0.845 6.4092, -0.845 6.4083, -0.8458 6.4083, -0.8458 6.4133))"
PL (G)-2/837,PL (G)-2/837,Pecos Layton Limited,Prospecting Licence (Ghanaian),GH,Active License,2024-11-18,2027-11-17,Gold,"POLYGON ((-2.5 5.4208333333, -2.4166666667 5.4208333333, -2.4166666667 5.3333333333, -2.4875 5.3333333333, -2.4875 5.3791666667, -2.5 5.3791666667, -2.5 5.4208333333))"
